ref_count,n2_year,n2,n1,n1_year
7,2017,222,222,2015
8,2017,222,222,2011
5,2017,222,222,2014
7,2018,222,222,2017
6,2018,222,222,2015
6,2018,222,222,2016
6,2018,222,222,2013
5,2019,222,222,2014
7,2019,222,222,2018
5,2019,222,222,2013
11,2020,222,222,2018
7,2020,222,222,2014
13,2020,222,222,2019
6,2020,222,222,2015
5,2020,222,222,2020
7,2020,222,222,2017
6,2021,222,222,2021
7,2021,222,222,2013
5,2021,222,222,2014
5,2021,222,222,2017
5,2021,222,222,2015
11,2021,222,222,2020
9,2021,222,222,2018
12,2021,222,222,2019
6,2014,228,228,2011
10,2014,228,228,2013
6,2015,228,228,2012
5,2015,228,228,2014
9,2016,228,228,2014
7,2016,228,228,2013
5,2016,228,228,2015
8,2017,228,228,2015
5,2017,228,228,2012
7,2017,228,228,2014
7,2017,228,228,2013
6,2018,228,228,2018
10,2018,228,228,2017
7,2018,228,228,2013
9,2018,228,228,2014
6,2018,228,228,2015
6,2018,228,228,2016
5,2019,228,228,2019
10,2019,228,228,2018
12,2019,228,228,2017
9,2019,228,228,2014
5,2019,228,228,2015
5,2019,228,228,2016
5,2020,228,228,2015
13,2020,228,228,2019
16,2020,228,228,2017
16,2020,228,228,2018
6,2020,228,228,2020
6,2020,228,228,2014
6,2020,228,228,2013
17,2021,228,228,2020
5,2021,228,228,2021
9,2021,228,228,2014
9,2021,228,228,2015
31,2021,228,228,2019
17,2021,228,228,2017
16,2021,228,228,2018
6,2015,250,250,2011
5,2018,250,250,2017
5,2017,261,261,2013
5,2017,261,261,2016
6,2018,261,261,2017
7,2018,261,261,2016
6,2019,261,261,2016
5,2019,261,261,2019
5,2019,261,261,2017
5,2019,261,261,2013
7,2019,261,261,2018
10,2020,261,261,2017
19,2020,261,261,2019
8,2020,261,261,2016
6,2020,261,261,2020
14,2020,261,261,2018
13,2021,261,261,2020
6,2021,261,261,2021
19,2021,261,261,2019
8,2021,261,261,2017
12,2021,261,261,2018
5,2021,292,14353,2020
5,2021,292,292,2021
5,2020,303,303,2016
8,2020,303,303,2019
8,2021,303,5109,2019
5,2021,303,5109,2018
7,2021,303,303,2020
10,2021,303,303,2019
5,2018,319,319,2018
12,2019,319,319,2018
6,2020,319,319,2017
14,2020,319,319,2018
11,2020,319,319,2019
12,2021,319,319,2019
6,2021,319,2381,2019
17,2021,319,319,2018
11,2021,319,319,2020
7,2021,319,319,2021
6,2021,319,319,2017
5,2017,369,369,2015
5,2018,369,369,2015
5,2019,369,369,2015
8,2019,369,369,2018
6,2020,369,369,2015
12,2020,369,369,2018
7,2020,369,369,2019
5,2021,369,369,2018
10,2021,369,369,2020
14,2021,369,369,2019
7,2021,369,369,2021
6,2021,369,369,2015
9,2014,432,432,2010
5,2014,432,432,2011
6,2020,446,446,2017
8,2021,446,446,2020
6,2021,446,15407,2020
5,2021,446,446,2018
11,2021,446,446,2019
5,2021,446,1149,2020
5,2010,456,456,2010
15,2011,456,456,2010
8,2012,456,456,2012
15,2012,456,456,2010
15,2012,456,456,2011
10,2013,456,456,2011
16,2013,456,456,2010
10,2013,456,456,2012
11,2014,456,456,2010
11,2014,456,456,2011
7,2014,456,456,2012
5,2014,456,456,2013
11,2015,456,456,2010
14,2015,456,456,2012
12,2015,456,456,2013
5,2015,456,456,2014
17,2015,456,456,2011
8,2016,456,456,2014
6,2016,456,456,2011
10,2016,456,456,2012
6,2016,456,456,2013
11,2016,456,456,2010
5,2017,456,456,2010
7,2017,456,456,2015
10,2017,456,456,2011
5,2017,456,456,2012
6,2018,456,456,2017
7,2018,456,456,2012
6,2018,456,456,2015
7,2018,456,456,2010
6,2018,456,456,2011
5,2019,456,456,2018
5,2019,456,456,2012
5,2019,456,456,2011
5,2019,456,456,2015
5,2020,456,456,2017
5,2020,456,456,2019
6,2020,456,456,2018
5,2020,456,456,2011
5,2013,468,468,2010
5,2020,468,468,2017
6,2021,468,468,2019
5,2021,468,468,2017
8,2021,476,476,2020
5,2021,476,476,2018
5,2013,484,484,2012
5,2014,484,484,2013
6,2015,484,484,2013
6,2016,484,484,2013
6,2017,484,484,2013
8,2017,484,484,2015
5,2018,484,484,2013
5,2018,484,484,2017
5,2018,484,484,2015
6,2019,484,484,2013
7,2019,484,484,2018
5,2019,484,484,2016
10,2019,484,484,2017
